 number_of_ancestors | child_occurences 
---------------------+------------------
                   1 |            21533
                   2 |            69495
                   3 |           130120
                   4 |           113852
                   5 |             8599
                   6 |            19830
                   7 |            36570
                   8 |            52964
                   9 |             3280
                  10 |            13546
                  11 |            10845
                  13 |             2568
                  14 |            14212
                  17 |              196
                  18 |             3423
                  19 |            17057
                  20 |            21771
                  21 |              367
                  22 |              899
                  23 |              568
                  24 |              150
                  25 |              899
                  26 |             1603
                  27 |             9709
                  28 |             2613
                  29 |            16425
                  30 |             1359
                  31 |             2307
                  32 |             2552
                  34 |              247
                  35 |             1352
                  36 |               10
                  37 |              421
                  38 |             1802
                  39 |             2016
                  40 |              733
                  41 |             3600
                  42 |              106
                  43 |              529
                  44 |              181
                  45 |               56
                  46 |              604
                  47 |             2435
                  48 |                5
                  49 |              880
                  50 |             3626
                  51 |              210
                  52 |              196
                  53 |              232
                  54 |               64
                  55 |              321
                  56 |              189
                  57 |              117
                  58 |              637
                  59 |             1288
                  60 |                7
                  61 |              327
                  62 |             2892
                  63 |             4816
                  64 |               13
                  65 |               75
                  66 |               54
                  67 |             2189
                  68 |             7797
                  69 |               27
                  70 |              131
                  71 |              574
                  72 |              106
                  73 |               56
                  74 |               82
                  75 |               60
                  76 |               12
                  77 |               63
                  78 |              231
                  79 |             1131
                  80 |               46
                  81 |               13
                  82 |              208
                  83 |             1166
                  85 |              155
                  86 |              644
                  87 |              161
                  88 |               11
                  89 |               39
                  90 |               10
                  91 |               76
                  92 |              353
                  93 |                7
                  94 |              143
                  95 |              412
                  97 |               26
                  98 |              116
                  99 |              482
                 100 |               83
                 101 |              365
                 102 |               91
                 103 |              583
                 104 |              950
                 105 |                5
                 106 |               28
                 107 |              121
                 109 |              156
                 110 |              648
                 111 |              122
                 112 |               48
                 113 |              252
                 114 |               17
                 115 |               21
                 116 |                9
                 118 |               80
                 119 |              445
                 120 |               12
                 121 |               22
                 122 |               74
                 123 |               13
                 124 |              104
                 125 |              586
                 126 |               32
                 127 |              179
                 128 |               86
                 129 |                7
                 130 |                9
                 131 |               17
                 132 |               30
                 133 |               30
                 134 |              178
                 135 |              122
                 136 |                7
                 137 |               31
                 138 |               54
                 139 |              250
                 140 |               24
                 141 |                1
                 142 |               60
                 143 |              301
                 145 |              106
                 146 |              494
                 147 |               48
                 148 |                1
                 149 |                2
                 150 |                9
                 151 |              103
                 152 |              257
                 153 |                2
                 154 |               27
                 155 |              109
                 157 |                6
                 158 |               41
                 159 |              186
                 160 |                1
                 161 |                6
                 163 |                3
                 164 |               12
                 166 |               66
                 167 |              374
                 169 |                8
                 170 |               41
                 172 |                1
                 173 |                6
                 174 |               10
                 175 |               72
                 176 |               59
                 177 |               13
                 178 |               33
                 179 |              144
                 181 |                1
                 182 |               14
                 183 |               32
                 184 |               25
                 185 |              150
                 186 |                3
                 187 |               84
                 188 |              297
                 189 |               17
                 190 |                5
                 191 |               25
                 193 |               25
                 194 |               97
                 195 |                2
                 196 |               23
                 197 |               66
                 198 |               43
                 199 |              200
                 200 |                4
                 201 |                1
                 202 |               10
                 203 |               54
                 205 |                6
                 206 |               20
                 207 |               43
                 208 |               37
                 209 |              184
                 210 |                2
                 211 |               30
                 212 |              120
                 214 |               24
                 215 |              139
                 217 |               24
                 218 |               87
                 219 |               87
                 220 |                3
                 221 |               18
                 222 |                3
                 223 |               15
                 224 |                3
                 226 |               34
                 227 |              193
                 229 |               40
                 230 |              145
                 231 |                8
                 232 |                2
                 233 |                7
                 235 |                8
                 236 |               32
                 238 |               16
                 239 |               91
                 240 |                1
                 241 |                7
                 242 |                1
                 245 |                1
                 246 |               16
                 247 |               48
                 248 |               10
                 250 |               14
                 251 |               79
                 252 |                1
                 253 |               10
                 254 |               43
                 255 |               76
                 257 |                4
                 258 |                8
                 259 |               26
                 260 |               14
                 261 |                2
                 262 |               16
                 263 |               27
                 264 |                1
                 265 |                1
                 268 |               24
                 269 |              141
                 270 |                1
                 271 |               30
                 272 |               83
                 277 |                5
                 278 |               37
                 279 |               54
                 280 |                4
                 281 |               17
                 282 |                1
                 286 |                8
                 287 |               47
                 289 |                4
                 290 |                4
                 292 |               10
                 293 |               59
                 294 |                9
                 295 |               60
                 296 |               53
                 297 |                1
                 298 |                4
                 299 |               18
                 301 |                3
                 302 |               15
                 303 |                4
                 304 |                4
                 305 |               24
                 306 |                3
                 307 |               16
                 308 |                1
                 310 |               16
                 311 |               88
                 313 |               12
                 314 |               56
                 318 |                1
                 319 |                7
                 320 |               12
                 322 |                9
                 323 |               51
                 325 |                3
                 326 |                3
                 334 |               11
                 335 |               62
                 337 |                2
                 338 |                2
                 340 |               11
                 341 |               64
                 343 |                6
                 344 |               10
                 349 |                1
                 350 |                6
                 351 |                6
                 352 |                9
                 353 |               48
                 354 |                1
                 355 |               11
                 356 |               29
                 358 |                9
                 359 |               38
                 364 |                2
                 365 |               11
                 366 |                1
                 367 |                6
                 370 |                1
                 371 |                6
                 374 |                4
                 375 |               21
                 376 |                1
                 377 |                6
                 379 |               13
                 380 |               54
                 382 |                9
                 383 |               54
                 385 |                4
                 386 |               11
                 388 |                1
                 389 |                6
                 390 |                1
                 391 |                6
                 392 |                2
                 393 |               13
                 394 |               14
                 395 |               68
                 403 |               12
                 404 |               69
                 406 |                8
                 407 |               12
                 412 |                1
                 413 |                6
                 414 |                7
                 415 |               39
                 416 |                5
                 417 |                2
                 418 |                2
